Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA,ODIN
arrhythmia,452,274,14.6018,0.3753636363636364,0.4460999999999999,0.42660909090909094,0.5068272727272727,0.48948181818181813,0.44150909090909085,0.4297454545454546,0.40216363636363633,0.4551727272727273,0.45507272727272724,0.43800909090909085
cardio,1831,21,9.6122,0.24418181818181817,0.40629090909090915,0.1720090909090909,0.45532727272727275,0.5069,0.3433818181818182,0.16605454545454545,0.44551818181818187,0.5146000000000001,0.6173909090909091,0.3441
glass,214,9,4.2056,0.17748181818181819,0.08874545454545454,0.20995454545454545,0.0,0.0963181818181818,0.08874545454545454,0.15692727272727272,0.022727272727272728,0.17965454545454546,0.08874545454545454,0.08874545454545454
ionosphere,351,33,35.8974,0.845090909090909,0.8155454545454546,0.7176090909090911,0.3375727272727273,0.6509727272727273,0.8613454545454545,0.7148545454545455,0.8832363636363637,0.7074818181818181,0.5786363636363636,0.8441818181818181
letter,1600,32,6.25,0.3861545454545455,0.23680909090909094,0.38388181818181816,0.07275454545454546,0.09172727272727271,0.3300727272727273,0.3619545454545454,0.19262727272727273,0.15658181818181818,0.08725454545454545,0.3547909090909091
lympho,148,18,4.0541,0.46819090909090905,0.7439454545454545,0.7439454545454545,0.8606090909090909,0.8575818181818182,0.7439454545454545,0.7439454545454545,0.410609090909091,0.7439454545454545,0.7439454545454545,0.7439454545454545
mnist,7603,100,9.2069,0.3573909090909091,0.39696363636363635,0.33234545454545456,0.11972727272727274,0.31028181818181816,0.42103636363636365,0.33471818181818186,0.3066,0.39838181818181817,0.38600909090909086,0.41942727272727276
musk,3062,166,3.1679,0.0544,1.0,0.2162090909090909,0.9782272727272726,0.986809090909091,0.2877090909090909,0.18306363636363632,0.9852545454545454,1.0,0.9817636363636364,0.30365454545454545
optdigits,5216,64,2.8758,0.013045454545454544,0.0,0.027627272727272726,0.22218181818181817,0.03036363636363636,0.0,0.025772727272727277,0.0,0.0,0.0,0.0
pendigits,6870,16,2.2707,0.07658181818181818,0.22497272727272727,0.0638909090909091,0.2952727272727273,0.3513818181818182,0.09627272727272729,0.06342727272727272,0.08930909090909091,0.3259181818181819,0.3154636363636364,0.09674545454545457
pima,768,8,34.8958,0.5179636363636363,0.48495454545454547,0.4451272727272728,0.5389545454545455,0.5034363636363636,0.5397,0.4540454545454546,0.4996363636363636,0.4726181818181818,0.4952363636363636,0.5387363636363635
satellite,6435,36,31.6395,0.38891818181818183,0.5784909090909092,0.38927272727272727,0.5683727272727274,0.5570090909090909,0.49899090909090904,0.3878363636363637,0.683918181818182,0.5336181818181819,0.47886363636363644,0.49833636363636363
satimage-2,5803,36,1.2235,0.2171454545454545,0.9403272727272729,0.06968181818181818,0.6953363636363636,0.8788727272727271,0.38143636363636363,0.062190909090909095,0.6419909090909092,0.9384818181818183,0.8101636363636363,0.4081363636363637
shuttle,49097,9,7.1511,0.19658181818181816,0.2822636363636364,0.05274545454545455,0.9520454545454545,0.9439272727272727,0.21694545454545455,0.14349090909090909,0.7479363636363636,0.9542636363636364,0.9503,0.21827272727272726
vertebral,240,6,12.5,0.06368181818181819,0.040754545454545446,0.07022727272727272,0.0064909090909090915,0.04025454545454545,0.021645454545454548,0.05508181818181817,0.025972727272727272,0.021645454545454548,0.020563636363636364,0.030736363636363638
vowels,1456,12,3.4341,0.5580727272727273,0.4102727272727273,0.3406,0.13093636363636366,0.19258181818181816,0.5106090909090909,0.35741818181818186,0.1647727272727273,0.28833636363636367,0.13695454545454547,0.5727272727272726
wbc,378,30,5.5556,0.33416363636363633,0.5164636363636365,0.5366636363636365,0.5917181818181819,0.5254727272727273,0.506109090909091,0.5275727272727273,0.4632181818181818,0.5288363636363637,0.4963272727272728,0.5389363636363637
