Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA,ODIN
arrhythmia,452,274,14.6018,0.7613363636363637,0.7749999999999999,0.7767636363636363,0.8193181818181817,0.8005636363636364,0.7853636363636363,0.7780454545454546,0.7781363636363636,0.7785636363636363,0.7794454545454547,0.785109090909091
cardio,1831,21,9.6122,0.5749454545454545,0.7985818181818182,0.5903545454545455,0.8356909090909089,0.9212727272727271,0.7282545454545454,0.5766363636363636,0.8239090909090909,0.9363818181818183,0.951490909090909,0.722909090909091
glass,214,9,4.2056,0.7945727272727272,0.8467909090909091,0.8453272727272728,0.7365545454545455,0.7555727272727272,0.8529636363636364,0.8606545454545454,0.7903727272727273,0.6522,0.6870909090909091,0.8435818181818182
ionosphere,351,33,35.8974,0.9259090909090908,0.9131636363636364,0.8785090909090908,0.5635454545454546,0.8538363636363637,0.9279818181818182,0.8798818181818181,0.9571454545454544,0.8459727272727271,0.7977909090909091,0.9308545454545453
letter,1600,32,6.25,0.8789454545454546,0.7826363636363637,0.8728454545454546,0.5917363636363637,0.6396454545454545,0.8749909090909089,0.8601909090909092,0.8068818181818181,0.6103909090909091,0.5291272727272727,0.884481818181818
lympho,148,18,4.0541,0.9110909090909091,0.9578818181818183,0.973009090909091,0.9960818181818183,0.9927909090909091,0.9736272727272727,0.9759818181818183,0.9100454545454546,0.9748727272727272,0.983409090909091,0.9683545454545454
mnist,7603,100,9.2069,0.7823909090909091,0.8456090909090908,0.7192181818181819,0.5755090909090911,0.8100727272727273,0.8485545454545456,0.7159909090909089,0.8588000000000001,0.8527272727272728,0.8525363636363636,0.8481181818181818
musk,3062,166,3.1679,0.18935454545454544,1.0,0.5393363636363636,0.9999818181818182,0.9998545454545454,0.8026454545454546,0.5354363636363636,0.9998636363636364,1.0,0.9999545454545455,0.7650363636363636
optdigits,5216,64,2.8758,0.47232727272727276,0.762709090909091,0.4428,0.8734545454545454,0.7053272727272727,0.37410909090909095,0.4529818181818182,0.3929272727272727,0.49843636363636357,0.5080181818181818,0.36199090909090914
pendigits,6870,16,2.2707,0.6864454545454546,0.8840272727272727,0.4536818181818181,0.9232636363636364,0.9479090909090909,0.7475272727272727,0.4631454545454545,0.8321090909090909,0.9298090909090909,0.9344727272727272,0.7580727272727273
pima,768,8,34.8958,0.6782818181818183,0.6535090909090909,0.6184181818181819,0.6973,0.6785272727272728,0.7075999999999999,0.6238545454545454,0.6753454545454546,0.6206909090909091,0.6477545454545455,0.7082181818181819
satellite,6435,36,31.6395,0.570690909090909,0.7494545454545455,0.5558909090909091,0.7570272727272728,0.6922454545454545,0.6836181818181818,0.5554727272727272,0.802690909090909,0.6611636363636364,0.5983545454545455,0.6847181818181819
satimage-2,5803,36,1.2235,0.8230181818181819,0.9991181818181818,0.45431818181818184,0.9795545454545455,0.9937090909090909,0.9539636363636365,0.45310000000000006,0.9957363636363635,0.9975000000000002,0.981409090909091,0.9605090909090909
shuttle,49097,9,7.1511,0.6222545454545453,0.6088454545454547,0.48153636363636365,0.9852,0.9968727272727272,0.6526454545454544,0.5277090909090908,0.9902636363636365,0.991509090909091,0.9895545454545456,0.6668272727272726
vertebral,240,6,12.5,0.4213454545454546,0.4448272727272727,0.41257272727272726,0.3291454545454545,0.3910272727272728,0.37941818181818177,0.41550909090909083,0.4024909090909091,0.4438181818181819,0.4035,0.36981818181818177
vowels,1456,12,3.4341,0.9602454545454543,0.9294454545454545,0.940509090909091,0.6747727272727274,0.7543363636363636,0.9676545454545454,0.9394272727272724,0.7833181818181818,0.7840545454545453,0.6099363636363636,0.9695818181818182
wbc,378,30,5.5556,0.9058454545454545,0.9141272727272728,0.9370999999999999,0.9528545454545455,0.9345363636363634,0.9385545454545454,0.9368727272727273,0.9181454545454545,0.9343090909090909,0.9189363636363637,0.9365272727272725
