Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA,ODIN
arrhythmia,452,274,14.6018,0.6839,0.5569454545454545,0.41917272727272725,0.7425636363636364,0.5330090909090909,0.11752727272727272,0.04285454545454545,21.1638,0.043709090909090906,0.3931272727272727,0.11486363636363635
cardio,1831,21,9.6122,0.7118818181818182,0.20750000000000002,1.0565090909090908,0.013972727272727276,0.5393636363636364,0.2750909090909091,0.0975818181818182,2.5156727272727277,0.33630909090909095,0.015445454545454542,0.21911818181818185
glass,214,9,4.2056,0.07848181818181818,0.1031909090909091,0.07684545454545455,0.005127272727272728,0.4771545454545454,0.03535454545454546,0.008218181818181819,0.13297272727272727,0.009536363636363636,0.004936363636363636,0.019836363636363635
ionosphere,351,33,35.8974,0.13414545454545454,0.10557272727272728,0.26033636363636364,0.018045454545454545,0.504090909090909,0.06324545454545455,0.02560909090909091,0.5078999999999999,0.01608181818181818,0.006009090909090909,0.0382
letter,1600,32,6.25,0.6088818181818182,0.18245454545454545,0.8038454545454545,0.02264545454545454,0.5280545454545454,0.25396363636363634,0.08520909090909091,8.879772727272728,0.24073636363636364,0.026936363636363644,0.21490909090909094
lympho,148,18,4.0541,0.05927272727272726,0.09863636363636363,0.13049090909090907,0.009918181818181819,0.4845636363636363,0.03427272727272728,0.025136363636363637,0.16616363636363635,0.006445454545454546,0.003918181818181818,0.01490909090909091
mnist,7603,100,9.2069,5.734045454545455,0.5812272727272728,2.198309090909091,0.08939090909090909,0.7107636363636364,3.877272727272727,0.2993090909090909,83.49367272727274,6.697800000000001,0.27345454545454545,6.916836363636364
musk,3062,166,3.1679,1.617981818181818,0.22505454545454545,0.526309090909091,0.08847272727272727,0.4495090909090909,0.9473636363636363,0.09979090909090906,165.5247181818182,0.9467000000000002,0.3756,1.5924090909090909
optdigits,5216,64,2.8758,1.549090909090909,0.19989999999999997,0.6501181818181818,0.032345454545454545,0.35544545454545456,0.7536272727272727,0.11165454545454546,8.4986,1.568690909090909,0.08123636363636363,1.2044636363636363
pendigits,6870,16,2.2707,1.3889727272727272,0.14128181818181818,3.166990909090909,0.014872727272727275,0.38789999999999997,0.6281181818181818,0.1509727272727273,4.677763636363637,2.3699545454545454,0.010199999999999999,0.7408090909090909
pima,768,8,34.8958,0.15151818181818183,0.07553636363636364,0.11126363636363638,0.003209090909090909,0.2865454545454545,0.05167272727272727,0.0131,0.07976363636363636,0.03633636363636364,0.0030090909090909096,0.034309090909090914
satellite,6435,36,31.6395,1.4308636363636362,0.1843727272727273,0.6981818181818182,0.01986363636363636,0.35141818181818185,0.627190909090909,0.1378909090909091,7.37800909090909,2.2037090909090904,0.02888181818181818,0.8341272727272727
satimage-2,5803,36,1.2235,1.3169272727272727,0.17813636363636365,0.6381272727272728,0.01877272727272727,0.34726363636363633,0.5873818181818181,0.12228181818181817,7.805972727272728,1.8398999999999999,0.03081818181818182,0.8264636363636364
shuttle,49097,9,7.1511,14.54458181818182,0.23696363636363638,59.48380909090909,0.019127272727272725,0.787409090909091,8.935318181818182,10.120454545454546,15.733472727272726,130.768,0.031172727272727276,23.28749090909091
vertebral,240,6,12.5,0.04563636363636363,0.053418181818181816,0.04348181818181818,0.002590909090909091,0.26142727272727273,0.01591818181818182,0.0044181818181818185,0.09390000000000001,0.0050181818181818175,0.002272727272727273,0.011645454545454544
vowels,1456,12,3.4341,0.2655636363636364,0.09738181818181818,0.2779,0.004863636363636363,0.2850636363636364,0.10115454545454546,0.033836363636363644,1.3007545454545453,0.11100909090909092,0.0041,0.06949090909090909
wbc,378,30,5.5556,0.08093636363636363,0.061081818181818175,0.15277272727272725,0.008100000000000001,0.26844545454545454,0.030500000000000003,0.015527272727272728,0.27309090909090905,0.010845454545454545,0.0031818181818181815,0.017918181818181816
