Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA,ODIN
arrhythmia,452,274,14.6018,0.3597090909090909,0.2951090909090909,0.2414090909090909,0.3603545454545454,0.2740545454545455,0.05742727272727273,0.023727272727272722,5.0681,0.02157272727272727,0.16138181818181818,0.057836363636363644
cardio,1831,21,9.6122,0.3735545454545454,0.11495454545454548,0.5850363636363635,0.007545454545454547,0.3048545454545455,0.14737272727272724,0.055554545454545454,1.2615454545454547,0.1727090909090909,0.009972727272727274,0.11206363636363638
glass,214,9,4.2056,0.040745454545454536,0.05418181818181818,0.04771818181818181,0.003645454545454546,0.27237272727272727,0.013536363636363636,0.004363636363636364,0.08257272727272728,0.00409090909090909,0.0025454545454545456,0.00918181818181818
ionosphere,351,33,35.8974,0.06801818181818181,0.05747272727272728,0.15015454545454546,0.009727272727272725,0.2891181818181819,0.026009090909090912,0.014590909090909094,0.2492909090909091,0.008700000000000001,0.0031454545454545455,0.01470909090909091
letter,1600,32,6.25,0.32548181818181815,0.10412727272727272,0.47453636363636365,0.010854545454545452,0.3014,0.13337272727272725,0.046599999999999996,3.882972727272727,0.1330818181818182,0.016181818181818183,0.10745454545454547
lympho,148,18,4.0541,0.0337909090909091,0.05426363636363636,0.08339090909090908,0.005363636363636363,0.27387272727272727,0.016318181818181822,0.015600000000000003,0.0888,0.003727272727272728,0.002590909090909091,0.00681818181818182
mnist,7603,100,9.2069,3.264936363636363,0.3589090909090909,1.3223545454545453,0.057,0.4037909090909091,2.397709090909091,0.14130909090909094,29.482490909090902,4.027154545454545,0.16221818181818182,4.2667090909090915
musk,3062,166,3.1679,1.1432,0.14726363636363635,0.3606909090909091,0.0636909090909091,0.3325909090909091,0.6829272727272728,0.036827272727272715,75.04952727272727,0.7179818181818183,0.26330909090909094,1.2181181818181819
optdigits,5216,64,2.8758,1.4717,0.1558090909090909,0.5624727272727273,0.030281818181818184,0.3517636363636364,0.705590909090909,0.058254545454545455,6.865072727272729,1.5251,0.06801818181818182,1.1759181818181819
pendigits,6870,16,2.2707,1.3737818181818182,0.14610909090909094,3.129472727272727,0.010045454545454543,0.3803818181818182,0.5901363636363635,0.08012727272727273,5.321281818181818,2.4059545454545455,0.011245454545454543,0.782218181818182
pima,768,8,34.8958,0.15595454545454546,0.08189090909090908,0.11280909090909091,0.0036363636363636372,0.2916909090909091,0.052245454545454546,0.0127,0.09871818181818183,0.03156363636363637,0.0028181818181818178,0.03437272727272728
satellite,6435,36,31.6395,1.3855272727272727,0.17566363636363638,0.6589818181818181,0.020036363636363633,0.35477272727272724,0.6377636363636365,0.06906363636363637,8.604718181818184,2.1929636363636362,0.029781818181818177,0.8473818181818181
satimage-2,5803,36,1.2235,1.281372727272727,0.18146363636363635,0.6380272727272728,0.01859090909090909,0.3473818181818182,0.5746090909090908,0.0658909090909091,11.015563636363636,1.794618181818182,0.03113636363636364,0.8451090909090909
shuttle,49097,9,7.1511,13.782890909090908,0.25054545454545457,57.88149999999999,0.016527272727272727,0.7792272727272728,8.628300000000001,9.877445454545454,15.920554545454547,122.0092090909091,0.027745454545454552,22.117254545454543
vertebral,240,6,12.5,0.04588181818181818,0.05512727272727272,0.04485454545454545,0.0029,0.2711727272727273,0.015954545454545457,0.004636363636363636,0.06911818181818183,0.005181818181818181,0.0027272727272727275,0.010236363636363634
vowels,1456,12,3.4341,0.27362727272727266,0.10041818181818182,0.26741818181818183,0.004636363636363636,0.2928181818181818,0.10248181818181817,0.034481818181818176,1.3383,0.11005454545454546,0.0035272727272727274,0.07329090909090909
wbc,378,30,5.5556,0.07985454545454546,0.05842727272727273,0.15622727272727271,0.008272727272727272,0.2719090909090909,0.03046363636363636,0.014772727272727276,0.24208181818181818,0.010672727272727271,0.0033636363636363634,0.01802727272727273
